/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:4.8 CYCLES:6828 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:5.0 CYCLES:7015 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 92.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:4.7 CYCLES:6590 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:4.8 CYCLES:6794 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 95.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:4.7 CYCLES:6607 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.4
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:4.6 CYCLES:6573 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:4.7 CYCLES:6658 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 96.8
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:4.6 CYCLES:6573 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:4.9 CYCLES:6998 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 92.3
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:4.8 CYCLES:6828 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:4.8 CYCLES:6828 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 94.5
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:5.0 CYCLES:7015 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 92.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:4.7 CYCLES:6590 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.6
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:8.3 CYCLES:83 ICOUNT:10 IHITRATE: 75.0 DHITRATE: 85.7
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:13.0 CYCLES:91 ICOUNT:7 IHITRATE: 66.7 DHITRATE: 75.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.5 CYCLES:50 ICOUNT:9 IHITRATE: 72.7 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:10.3 CYCLES:72 ICOUNT:7 IHITRATE: 71.4 DHITRATE: 0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:8.4 CYCLES:84 ICOUNT:10 IHITRATE: 75.0 DHITRATE: 85.7
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:13.1 CYCLES:92 ICOUNT:7 IHITRATE: 66.7 DHITRATE: 75.0
